X,Y,COLOR
4,84,1
86,15,0
3,4,1
42,11,1
94,71,0
11,89,1
15,61,1
77,98,0
77,31,0
54,7,0
74,95,0
84,24,0
11,20,1
32,5,1
91,25,0
61,53,0
59,23,0
85,0,0
56,87,0
19,42,1
57,76,0
58,43,0
91,16,0
53,56,0
95,94,0
95,89,0
0,36,1
76,97,0
82,73,0
84,83,0
59,63,0
88,23,0
84,41,0
88,68,0
15,12,1
24,29,1
75,34,0
59,94,0
62,10,0
36,43,1
22,45,1
72,2,0
14,84,1
92,39,0
40,59,1
61,5,0
23,99,1
35,93,1
40,51,1
42,60,1
19,80,1
39,55,1
98,71,0
92,6,0
22,30,1
71,62,0
48,69,1
39,5,1
33,95,1
42,25,1
34,36,1
10,2,1
97,7,0
70,90,0
96,11,0
24,71,1
93,40,0
95,43,0
82,0,0
33,12,1
48,47,1
37,7,1
90,86,0
56,69,0
15,71,1
6,0,1
36,14,1
40,83,1
51,41,0
35,2,1
71,46,0
66,37,0
20,50,1
63,38,0
78,68,0
94,13,0
31,46,1
52,47,0
70,55,0
42,89,1
19,82,1
23,74,1
85,35,0
55,23,0
5,17,1
12,26,1
81,15,0
50,22,1
90,19,0
3,66,1
97,9,0
23,75,1
69,72,0
12,74,1
41,43,1
99,87,0
25,34,1
73,81,0
88,39,0
24,25,1
98,97,0
6,2,1
17,93,1
66,41,0
74,41,0
91,93,0
52,29,0
53,42,0
36,24,1
6,52,1
2,85,1
85,62,0
41,62,1
90,79,0
46,33,1
64,5,0
48,40,1
42,98,1
75,24,0
91,62,0
33,18,1
82,2,0
39,69,1
3,67,1
50,70,1
6,33,1
32,9,1
3,7,1
0,59,1
25,93,1
79,57,0
12,0,1
94,13,0
59,86,0
26,48,1
11,96,1
23,41,1
29,75,1
47,67,1
45,80,1
92,36,0
60,76,0
5,92,1
62,82,0
87,92,0
70,88,0
11,62,1
61,34,0
99,24,0
51,22,0
87,91,0
24,15,1
74,37,0
31,2,1
32,91,1
56,28,0
58,41,0
35,86,1
21,37,1
66,80,0
41,62,1
59,31,0
90,54,0
21,92,1
30,22,1
40,89,1
74,12,0
23,15,1
98,15,0
97,84,0
36,44,1
52,50,0
71,30,0
82,39,0
65,28,0
9,99,1
36,46,1
46,29,1
7,13,1
78,44,0
8,23,1
48,8,1
2,22,1
66,32,0
62,11,0
73,25,0
27,85,1
61,18,0
86,62,0
87,11,0
1,63,1
23,24,1
29,47,1
64,14,0
46,96,1
68,76,0
92,24,0
59,3,0
38,25,1
35,69,1
95,52,0
24,6,1
4,85,1
50,66,1
86,83,0
17,26,1
54,92,0
58,7,0
87,39,0
48,36,1
23,66,1
17,80,1
20,37,1
96,6,0
80,53,0
64,87,0
12,79,1
61,21,0
97,72,0
49,30,1
61,72,0
21,9,1
4,24,1
16,31,1
91,62,0
6,47,1
95,35,0
75,51,0
50,99,1
54,35,0
87,10,0
86,48,0
34,2,1
16,41,1
20,30,1
57,55,0
60,46,0
3,97,1
88,19,0
71,43,0
46,30,1
58,75,0
66,81,0
59,43,0
64,39,0
2,32,1
36,87,1
79,84,0
84,7,0
72,94,0
72,1,0
2,64,1
94,23,0
97,10,0
87,61,0
68,56,0
97,49,0
46,61,1
68,46,0
81,99,0
50,34,1
89,20,0
96,42,0
51,45,0
35,99,1
73,53,0
75,11,0
99,9,0
25,54,1
33,2,1
10,86,1
90,93,0
57,25,0
45,86,1
17,74,1
14,30,1
15,65,1
95,78,0
28,84,1
8,72,1
84,8,0
91,81,0
4,38,1
14,29,1
25,67,1
22,91,1
94,83,0
58,29,0
99,32,0
0,74,1
8,97,1
29,59,1
29,9,1
10,7,1
50,36,1
44,13,1
65,70,0
29,38,1
97,76,0
73,85,0
69,54,0
21,17,1
32,34,1
45,29,1
3,25,1
21,57,1
24,66,1
56,37,0
73,34,0
60,26,0
10,46,1
57,7,0
79,17,0
80,0,0
45,17,1
29,21,1
70,43,0
39,22,1
67,80,0
94,42,0
46,17,1
91,57,0
42,69,1
32,21,1
29,51,1
56,94,0
19,28,1
3,7,1
28,54,1
99,96,0
6,25,1
9,33,1
79,12,0
54,12,0
61,26,0
16,56,1
29,74,1
99,74,0
31,76,1
43,28,1
86,45,0
78,50,0
69,14,0
18,41,1
47,59,1
38,23,1
38,12,1
88,57,0
40,52,1
52,24,0
15,47,1
87,93,0
90,93,0
93,85,0
48,32,1
98,38,0
13,83,1
97,3,0
94,75,0
44,68,1
36,84,1
65,25,0
36,69,1
15,77,1
25,10,1
22,41,1
66,14,0
65,34,0
43,72,1
22,4,1
65,92,0
38,86,1
55,53,0
38,44,1
89,61,0
76,27,0
18,63,1
3,66,1
83,46,0
21,5,1
20,76,1
82,81,0
19,84,1
99,3,0
21,90,1
12,59,1
67,33,0
24,15,1
95,70,0
63,27,0
99,98,0
61,5,0
99,5,0
4,46,1
80,94,0
95,27,0
32,83,1
53,14,0
17,29,1
26,42,1
32,86,1
50,53,1
51,81,0
98,38,0
46,83,1
88,19,0
55,35,0
10,45,1
48,68,1
20,88,1
98,27,0
41,80,1
97,18,0
29,37,1
71,32,0
60,96,0
16,35,1
88,18,0
32,5,1
36,40,1
76,43,0
98,39,0
48,52,1
71,34,0
68,25,0
82,67,0
52,23,0
68,11,0
6,92,1
16,35,1
1,93,1
25,91,1
89,30,0
4,66,1
8,11,1
62,44,0
47,0,1
76,19,0
83,47,0
38,20,1
66,52,0
54,72,0
97,28,0
15,74,1
62,77,0
85,86,0
80,27,0
41,35,1
32,75,1
4,5,1
82,94,0
19,74,1
19,20,1
12,63,1
58,30,0
81,53,0
94,52,0
13,57,1
87,67,0
18,46,1
72,74,0
48,34,1
68,37,0
10,86,1
74,55,0
94,64,0
75,10,0
47,98,1
90,15,0
21,69,1
36,70,1
92,13,0
42,79,1
21,62,1
38,84,1
96,24,0
64,19,0
79,41,0
79,48,0
57,60,0
21,44,1
98,92,0
17,60,1
59,21,0
62,68,0
61,46,0
5,9,1
95,50,0
92,86,0
79,40,0
