X,Y,COLOR
58,11,1
82,85,1
32,48,0
52,85,1
32,47,0
66,14,1
31,62,0
92,17,1
11,73,1
8,49,1
75,56,0
65,66,0
48,90,1
23,81,0
2,11,1
67,64,0
16,88,1
77,32,0
75,62,0
12,55,1
21,78,0
2,34,1
72,43,0
26,87,1
20,50,0
18,6,1
62,23,0
20,45,0
21,52,0
24,36,0
32,55,0
1,96,1
78,96,1
79,44,0
67,1,1
3,28,1
1,13,1
1,39,1
97,65,1
59,88,1
22,98,1
40,25,0
90,42,1
94,64,1
71,63,0
22,54,0
81,63,0
86,64,1
78,80,0
65,55,0
68,76,0
25,93,1
80,31,0
6,90,1
30,61,0
42,87,1
13,69,1
74,97,1
93,48,1
92,50,1
67,6,1
66,72,0
99,56,1
35,34,0
44,76,0
0,25,1
83,89,1
95,31,1
39,6,1
42,56,0
29,81,0
14,99,1
83,30,0
45,11,1
43,12,1
5,28,1
11,65,1
84,28,0
37,35,0
74,65,0
44,28,0
24,34,0
80,89,1
13,63,1
34,39,0
41,37,0
61,47,0
67,16,0
64,8,1
59,40,0
30,30,0
17,17,0
61,34,0
55,88,1
59,56,0
55,90,1
37,89,1
83,38,0
49,11,1
71,49,0
47,11,1
49,35,0
10,30,1
88,60,1
4,12,1
1,89,1
69,17,0
84,61,0
81,76,0
50,12,1
32,72,0
71,17,0
18,87,1
60,76,0
88,93,1
14,62,1
2,78,1
30,12,1
54,1,1
73,68,0
74,64,0
35,91,1
95,71,1
80,58,0
68,65,0
68,33,0
59,49,0
80,1,1
91,77,1
95,38,1
75,30,0
40,44,0
32,76,0
99,74,1
45,3,1
25,37,0
53,78,0
52,76,0
4,14,1
39,56,0
84,85,1
95,75,1
1,93,1
23,1,1
23,56,0
51,60,0
92,36,1
50,15,1
24,61,0
40,90,1
54,40,0
51,55,0
57,33,0
92,70,1
46,36,0
47,24,0
59,10,1
72,41,0
41,58,0
50,93,1
64,62,0
46,16,0
72,58,0
31,44,0
46,20,0
94,52,1
14,52,1
11,97,1
13,36,1
6,86,1
53,39,0
97,2,1
17,15,1
99,25,1
90,62,1
87,74,1
33,36,0
84,9,1
55,74,0
50,59,0
90,8,1
96,94,1
53,99,1
55,51,0
14,92,1
39,88,1
46,27,0
62,8,1
64,58,0
17,0,1
25,43,0
46,32,0
88,43,1
75,66,0
85,93,1
87,63,1
58,39,0
75,88,1
72,73,0
11,4,1
83,2,1
96,3,1
36,80,0
28,27,0
25,4,1
60,67,0
71,13,1
96,99,1
18,62,0
3,73,1
98,75,1
48,16,0
44,42,0
41,49,0
78,56,0
5,3,1
28,70,0
