X,Y,COLOR
29,73,1
82,54,1
82,91,1
86,6,1
32,49,1
79,90,1
75,90,1
59,34,0
7,18,1
8,42,1
53,25,0
30,57,1
71,4,1
43,85,1
94,59,1
74,96,1
91,42,1
57,18,0
12,32,1
10,1,1
72,82,1
41,42,1
45,13,1
78,44,1
32,43,1
96,25,1
22,38,1
6,73,1
21,53,1
40,22,1
36,3,1
33,29,1
28,27,1
41,23,1
42,90,1
38,88,1
65,94,0
56,6,0
50,81,1
46,19,1
26,30,1
87,28,1
31,3,1
72,87,1
81,32,1
68,88,0
35,74,1
36,35,1
90,53,1
64,92,0
29,28,1
37,69,1
8,18,1
32,52,1
63,49,0
33,15,1
95,67,1
85,16,1
78,15,1
41,89,1
99,2,1
67,95,0
39,12,1
30,13,1
79,75,1
31,77,1
18,5,1
85,18,1
99,87,1
52,24,0
23,77,1
81,54,1
82,95,1
8,87,1
64,94,0
3,75,1
38,29,1
17,42,1
67,59,0
57,71,0
54,60,0
49,58,1
46,58,1
91,71,1
65,71,0
22,34,1
97,8,1
81,78,1
77,29,1
50,34,1
95,34,1
52,16,0
25,63,1
81,20,1
64,97,0
58,11,0
21,85,1
96,34,1
26,16,1
45,80,1
66,18,0
90,3,1
78,40,1
77,58,1
63,8,0
69,84,0
11,4,1
76,37,1
91,9,1
1,33,1
56,98,0
67,73,0
73,21,1
0,40,1
43,10,1
41,0,1
57,10,0
25,41,1
66,46,0
19,95,1
69,39,0
28,55,1
24,17,1
50,75,1
44,46,1
0,34,1
37,27,1
76,53,1
3,87,1
53,88,0
47,52,1
73,18,1
77,24,1
88,25,1
66,82,0
69,63,0
63,67,0
78,20,1
20,2,1
52,42,0
36,68,1
52,94,0
37,5,1
48,18,1
6,88,1
60,39,0
14,32,1
71,30,1
70,13,1
55,51,0
84,68,1
2,49,1
8,73,1
97,83,1
68,32,0
76,20,1
86,90,1
85,58,1
89,18,1
89,73,1
26,41,1
67,72,0
71,67,1
1,2,1
17,13,1
99,36,1
11,5,1
41,51,1
86,10,1
9,57,1
84,48,1
47,99,1
95,28,1
12,96,1
97,94,1
81,72,1
47,70,1
12,55,1
28,16,1
97,74,1
64,78,0
30,7,1
7,19,1
95,84,1
72,10,1
60,6,0
90,76,1
51,87,0
80,15,1
83,66,1
77,73,1
28,4,1
56,10,0
14,54,1
31,91,1
98,73,1
6,26,1
60,65,0
56,96,0
3,26,1
