X,Y,X_ALE,ALE,COLOR
1,87,146,67,1
1,75,176,91,1
1,64,35,28,1
1,92,47,38,1
1,45,103,96,1
1,18,106,24,0
1,63,30,6,0
1,36,120,55,0
1,47,130,79,2
1,65,130,76,0
1,56,105,53,3
1,34,89,34,3
1,57,93,53,3
1,96,120,29,1
1,26,91,7,0
1,32,177,81,1
1,89,55,38,1
1,33,83,8,0
1,42,91,89,1
1,9,133,35,1
1,95,113,45,1
1,88,120,55,1
1,19,161,89,0
1,76,89,14,0
1,53,156,91,0
1,8,102,58,1
1,93,38,37,1
1,3,119,77,1
1,51,47,38,1
1,20,46,21,0
1,60,169,73,1
1,78,117,34,0
1,31,136,43,1
1,1,87,74,1
1,13,96,47,1
1,9,154,88,1
1,68,155,61,1
1,37,115,87,3
1,38,147,94,2
1,64,158,92,0
1,84,68,66,1
1,67,107,11,1
1,61,174,88,1
1,42,66,25,2
1,11,136,66,1
1,89,65,31,1
1,85,54,27,1
1,2,90,79,1
1,80,61,25,0
1,95,99,89,1
1,54,101,31,0
1,66,82,65,0
1,4,136,55,1
1,72,60,48,1
1,24,107,98,1
1,40,116,31,1
1,87,35,22,1
1,55,24,6,0
1,9,145,56,1
1,87,24,13,1
1,30,103,70,3
1,54,44,13,3
1,81,72,72,1
1,49,30,23,1
1,68,129,62,0
1,26,76,32,3
1,25,107,68,0
1,17,125,41,0
1,56,152,69,0
1,62,67,33,3
1,51,62,29,3
1,15,169,85,1
1,66,101,98,1
1,7,169,95,1
1,78,189,98,1
1,63,91,48,3
1,15,102,49,1
1,95,54,45,1
1,86,30,30,1
1,91,145,77,1
1,22,33,11,0
1,28,88,60,3
1,24,149,95,0
1,31,131,45,1
1,62,157,85,0
1,71,129,55,0
1,93,99,92,1
1,76,125,50,0
1,32,116,65,3
1,74,86,51,0
1,29,29,15,1
1,42,71,32,2
1,69,63,3,0
1,47,32,22,1
1,39,80,18,3
1,31,97,8,1
1,81,147,84,0
1,49,157,66,1
1,82,73,11,0
1,19,104,88,0
1,8,118,60,1
1,40,82,44,2
1,55,81,25,3
1,80,160,69,1
1,38,58,47,1
1,11,165,72,1
1,75,77,44,0
1,86,86,57,1
1,25,58,11,0
1,97,112,25,1
1,23,124,95,0
1,12,77,13,1
1,52,57,44,1
1,69,79,74,1
1,62,36,14,0
1,37,72,23,2
1,11,22,5,1
1,88,145,75,1
1,29,64,1,3
1,81,115,83,0
1,68,35,21,1
1,79,120,22,1
1,21,116,58,0
1,17,95,53,0
1,34,24,9,1
1,93,12,4,1
1,58,133,41,1
1,16,41,11,0
1,14,123,61,1
1,2,46,0,1
1,43,109,33,0
1,8,61,31,1
1,89,132,42,1
1,36,112,96,0
1,21,109,34,0
1,89,88,61,1
1,73,108,10,1
1,24,54,22,0
1,94,27,14,1
1,80,131,86,0
1,56,94,18,0
1,59,122,63,3
1,1,140,53,1
1,31,144,52,1
1,73,87,43,0
1,5,139,73,1
1,74,77,22,0
1,26,156,61,1
1,51,70,63,1
1,99,114,51,1
1,46,106,96,1
1,8,135,62,1
1,53,184,97,1
1,21,59,22,0
1,3,104,85,1
1,3,155,59,1
1,50,118,19,1
1,38,12,8,1
1,73,21,15,1
1,78,37,18,0
1,52,104,7,1
1,26,84,15,0
1,89,12,1,1
1,64,47,25,0
1,22,117,89,0
1,43,61,15,2
1,21,103,13,1
1,91,149,95,1
1,61,39,19,0
1,55,61,21,3
1,49,97,71,3
1,65,84,31,0
1,32,22,2,0
1,80,71,69,1
1,80,87,3,0
1,8,20,5,1
1,1,44,20,1
1,43,61,33,3
1,58,88,34,3
1,16,44,9,0
1,52,61,54,1
1,59,100,82,0
1,53,144,68,0
1,64,47,21,3
1,1,90,21,1
1,12,93,50,1
1,15,171,75,1
1,5,16,12,1
1,24,126,54,0
1,27,164,85,0
1,64,106,80,3
1,99,106,17,1
1,6,128,45,1
1,49,17,16,1
1,79,71,44,0
1,25,57,22,0
1,53,145,47,1
1,0,13,0,1
1,97,170,72,1
1,92,81,73,1
1,13,75,31,1
1,27,145,87,3
1,89,69,63,1
1,84,87,19,0
1,82,141,71,0
1,83,92,50,0
1,78,88,18,0
1,77,109,38,0
1,88,123,90,1
1,72,67,53,1
1,78,102,97,1
1,0,73,26,1
1,77,32,16,0
1,81,95,75,0
1,93,30,30,1
1,1,63,33,1
1,52,66,62,1
1,90,131,56,1
1,24,73,26,0
1,58,165,74,1
1,54,24,4,0
1,0,128,30,1
1,38,99,48,2
1,32,145,98,3
1,25,76,46,0
1,65,66,29,0
1,40,190,98,1
1,24,110,13,1
1,40,138,48,1
1,83,29,15,1
1,45,140,73,0
1,49,56,22,3
1,59,45,38,1
1,24,82,81,1
1,18,35,29,1
1,26,161,98,3
