X,Y,COLOR
10,69,1
70,59,0
27,87,1
28,95,1
98,46,1
25,81,0
57,42,0
17,8,1
4,82,1
90,69,1
86,99,1
64,54,0
70,76,0
6,92,1
78,3,1
12,81,1
41,5,1
63,48,0
56,21,0
55,81,0
53,82,0
94,71,1
43,43,0
78,35,0
53,5,1
44,65,0
28,67,0
22,10,1
73,17,0
4,10,1
32,47,0
19,81,0
8,85,1
30,42,0
98,35,1
18,83,0
29,39,0
57,4,1
19,43,0
47,36,0
85,61,1
21,4,1
84,14,1
77,77,0
72,58,0
55,1,1
69,48,0
55,47,0
2,2,1
76,86,1
83,97,1
5,82,1
11,54,1
50,35,0
84,69,0
20,70,0
36,65,0
34,26,0
8,83,1
33,38,0
24,0,1
69,17,0
96,74,1
45,55,0
96,48,1
14,79,1
1,46,1
13,13,1
70,85,1
15,28,1
55,79,0
49,58,0
78,32,0
62,67,0
27,79,0
14,50,1
87,9,1
57,69,0
95,67,1
38,63,0
5,31,1
92,11,1
63,61,0
1,53,1
71,67,0
59,70,0
55,82,0
78,23,0
78,3,1
80,30,0
59,29,0
8,98,1
55,67,0
91,96,1
32,60,0
2,28,1
96,11,1
99,94,1
78,31,0
43,62,0
33,54,0
55,9,1
97,63,1
9,36,1
39,10,1
90,76,1
49,35,0
78,76,0
76,66,0
64,74,0
48,68,0
16,79,0
64,28,0
86,1,1
74,37,0
88,22,1
75,47,0
59,3,1
1,64,1
23,75,0
54,94,1
98,17,1
57,26,0
69,77,0
92,91,1
95,27,1
31,22,0
99,28,1
98,26,1
54,94,1
44,32,0
92,92,1
4,90,1
53,68,0
45,85,1
58,50,0
67,88,1
79,48,0
20,35,0
37,23,0
17,90,1
31,92,1
29,34,0
0,41,1
0,31,1
62,93,1
74,15,1
67,24,0
52,83,0
1,9,1
59,66,0
85,22,1
94,97,1
76,87,1
89,27,1
37,66,0
39,45,0
93,62,1
23,51,0
21,82,0
61,96,1
88,63,1
90,53,1
40,13,1
34,19,0
50,0,1
43,5,1
87,28,1
72,78,0
11,46,1
22,89,1
91,86,1
2,95,1
58,90,1
45,55,0
90,86,1
44,36,0
33,19,0
45,48,0
64,46,0
74,39,0
84,98,1
4,86,1
83,89,1
82,55,0
28,74,0
0,40,1
85,61,1
3,10,1
7,43,1
31,72,0
84,61,0
98,30,1
36,15,1
77,65,0
75,3,1
71,92,1
48,54,0
79,78,0
35,62,0
