"NUEVA LICITACION / C. ERRORES","TIPO
ANUNCIO",EXPTE.,OBJETO,"FECHA
ANUNCIO",BOLETIN,Nº,"LINK ANUNCIO",ORGANISMO,LOCALIDAD,PROVINCIA,CCAA,TIPO,SECTOR,PCA.,PCT.,"PLAZO LIMITE OFERTAS","FECHA APERTURA PLICAS O SOBRES","CONTRATO TIPO","PROCEDIMIENTO ADJUDICACION","FORMA ADJUDICACION",CLASIFICACION,"OBJETO LOTES",,,"IMPORTE
S/IVA","IMPORTE
C/IVA","C. FINANC.",L1,L2,L3,UDS.,,"DURACION CONTRATO (MESES)","PRORROGA CONTRATO (MESES)","KEYWORDS
MARCAS/MODELOS",OBSERVACIONES,,
,PREVIO,,"SERVICIO DE ATENCION A USUARIOS EN EL ENTORNO MICROINFORMATICO DE LOS CENTROS PERIFERICOS DE LAS DELEGACIONES TERRITORIALES DE AGRICULTURA, PESCA Y MEDIO AMBIENTE",2015/04/03,"DO UNION EUROPEA",66-116172,http://ted.europa.eu/udl?uri=TED:NOTICE:116172-2015:TEXT:ES:HTML&src=0,"CONSEJERIA DE MEDIO AMBIENTE Y ORDENACION DEL TERRITORIO - JUNTA DE ANDALUCIA",SEVILLA,SEVILLA,ANDALUCIA,CCAA,"MEDIO AMBIENTE",http://www.juntadeandalucia.es/contratacion,,,,SERVICIOS,ABIERTO,CONCURSO,,,,,"413223,14",,COMPRA,SERVICIOS,"SOPORTE Y HELP DESK","SISTEMAS SHD",,,,,,,,
,PREVIO,,"EVOLUCION TECNOLOGICA Y FUNCIONAL DE LA APLICACION SICOMEPS",2015/04/03,"DO UNION EUROPEA",66-116170,http://ted.europa.eu/udl?uri=TED:NOTICE:116170-2015:TEXT:ES:HTML&src=0,"CONSELLERIA DE SANIDAD - GENERALITAT VALENCIANA",VALENCIA,VALENCIA,VALENCIA,CCAA,"SANIDAD Y CONSUMO",http://www.contratacion.gva.es/,961961600,,,SERVICIOS,ABIERTO,CONCURSO,,,,,"808839,12",,COMPRA,SERVICIOS,"ASISTENCIA TECNICA",PROGRAMACION,,,,,SICOMEPS,,,
,PREVIO,,"EVOLUCION TECNOLOGICA Y FUNCIONAL DE LA APLICACION SICOMEPS",2015/04/03,"DO UNION EUROPEA",66-116170,http://ted.europa.eu/udl?uri=TED:NOTICE:116170-2015:TEXT:ES:HTML&src=0,"CONSELLERIA DE SANIDAD - GENERALITAT VALENCIANA",VALENCIA,VALENCIA,VALENCIA,CCAA,"SANIDAD Y CONSUMO",http://www.contratacion.gva.es/,961961600,,,SERVICIOS,ABIERTO,CONCURSO,,,,,,,COMPRA,SERVICIOS,INTEGRACION,"SISTEMAS INTG",,,,,,,,
,PREVIO,,"EVOLUCION TECNOLOGICA Y FUNCIONAL DE LA APLICACION ORION LOGIS",2015/04/03,"DO UNION EUROPEA",66-116169,http://ted.europa.eu/udl?uri=TED:NOTICE:116169-2015:TEXT:ES:HTML&src=0,"CONSELLERIA DE SANIDAD - GENERALITAT VALENCIANA",VALENCIA,VALENCIA,VALENCIA,CCAA,"SANIDAD Y CONSUMO",http://www.contratacion.gva.es/,961961600,,,SERVICIOS,ABIERTO,CONCURSO,,,,,2631192,,COMPRA,SERVICIOS,"ASISTENCIA TECNICA",PROGRAMACION,,,,,"ORION LOGIS",,,
,PREVIO,,"EVOLUCION TECNOLOGICA Y FUNCIONAL DE LA APLICACION ORION LOGIS",2015/04/03,"DO UNION EUROPEA",66-116169,http://ted.europa.eu/udl?uri=TED:NOTICE:116169-2015:TEXT:ES:HTML&src=0,"CONSELLERIA DE SANIDAD - GENERALITAT VALENCIANA",VALENCIA,VALENCIA,VALENCIA,CCAA,"SANIDAD Y CONSUMO",http://www.contratacion.gva.es/,961961600,,,SERVICIOS,ABIERTO,CONCURSO,,,,,,,COMPRA,SERVICIOS,INTEGRACION,"SISTEMAS INTG",,,,,,,,
,PREVIO,20/15/01,"SERVICIOS DE DESARROLLO Y MANTENIMIENTO EVOLUTIVO DE APLICACIONES PARA EL ENTORNO TECNOLOGICO DE LA SUBSECRETARIA DEL DEPARTAMENTO",2015/04/06,INTERNET,,https://contrataciondelestado.es/wps/wcm/connect/PLACE_es/Site/area/docAccCmpnt?srv=cmpnt&cmpntname=GetDocumentsById&source=library&DocumentIdParam=affea2e0-8365-4cbd-a24e-59874d2098c0,"MINISTERIO DE HACIENDA Y ADMINISTRACIONES PUBLICAS",MADRID,MADRID,AGE,AGE,"ECONOMIA Y HACIENDA",https://contrataciondelestado.es/wps/poc?uri=deeplink%3Adetalle_licitacion&idEvl=%2Bsw1AnaeFQQQK2TEfXGy%2BA%3D%3D,915958100,,,SERVICIOS,ABIERTO,CONCURSO,,,,,3919816,,COMPRA,SERVICIOS,"ASISTENCIA TECNICA",PROGRAMACION,,,,,,"VALOR ESTIMADO: 10.583.503,20 S/IVA; FECHA PREVISTA INICIO PROCESO ADJUDICACION: 30/04/15",,
,PREVIO,20/15/01,"SERVICIOS DE DESARROLLO Y MANTENIMIENTO EVOLUTIVO DE APLICACIONES PARA EL ENTORNO TECNOLOGICO DE LA SUBSECRETARIA DEL DEPARTAMENTO",2015/04/06,INTERNET,,https://contrataciondelestado.es/wps/wcm/connect/PLACE_es/Site/area/docAccCmpnt?srv=cmpnt&cmpntname=GetDocumentsById&source=library&DocumentIdParam=affea2e0-8365-4cbd-a24e-59874d2098c0,"MINISTERIO DE HACIENDA Y ADMINISTRACIONES PUBLICAS",MADRID,MADRID,AGE,AGE,"ECONOMIA Y HACIENDA",https://contrataciondelestado.es/wps/poc?uri=deeplink%3Adetalle_licitacion&idEvl=%2Bsw1AnaeFQQQK2TEfXGy%2BA%3D%3D,915958100,,,SERVICIOS,ABIERTO,CONCURSO,,,,,,,COMPRA,SERVICIOS,"MANTENIMIENTO O GESTION","SOFTWARE / APLICACIONES / CONTENIDOS",,,,,,,,
,PREVIO,,"SUMINISTRO DE EQUIPAMIENTO CIENTIFICO-TECNICO: CLOUD, BIG DATA, VISUALIZACION CIENTIFICA Y ALIMENTACION ELECTRICA ININTERRUMPIDA (SAI) PARA EL CESGA, COFINANCIADO POR EL FONDO EUROPEO DE DESARROLLO REGIONAL 2007–2013 Y POR LA XUNTA DE GALICIA",2015/04/09,"DO UNION EUROPEA",69-122919,http://ted.europa.eu/udl?uri=TED:NOTICE:122919-2015:TEXT:ES:HTML&src=0,"FUNDACION CENTRO TECNOLOGICO DE SUPERCOMPUTACION DE GALICIA (CESGA)","SANTIAGO DE COMPOSTELA","A CORUÑA",GALICIA,CCAA,"INDUSTRIA / TURISMO / COMERCIO / CIENCIA Y TECNOLOGIA",http://www.cesga.es/,981569810,,,SUMINISTRO,ABIERTO,CONCURSO,,"LOTE 1: SISTEMA CLOUD",,,300000,,COMPRA,HARDWARE,SERVIDORES,"SISTEMAS DEPARTAMENTALES (1-2 VIAS)",,,,,,,,
,PREVIO,,"SUMINISTRO DE EQUIPAMIENTO CIENTIFICO-TECNICO: CLOUD, BIG DATA, VISUALIZACION CIENTIFICA Y ALIMENTACION ELECTRICA ININTERRUMPIDA (SAI) PARA EL CESGA, COFINANCIADO POR EL FONDO EUROPEO DE DESARROLLO REGIONAL 2007–2013 Y POR LA XUNTA DE GALICIA",2015/04/09,"DO UNION EUROPEA",69-122919,http://ted.europa.eu/udl?uri=TED:NOTICE:122919-2015:TEXT:ES:HTML&src=0,"FUNDACION CENTRO TECNOLOGICO DE SUPERCOMPUTACION DE GALICIA (CESGA)","SANTIAGO DE COMPOSTELA","A CORUÑA",GALICIA,CCAA,"INDUSTRIA / TURISMO / COMERCIO / CIENCIA Y TECNOLOGIA",http://www.cesga.es/,981569810,,,SUMINISTRO,ABIERTO,CONCURSO,,"LOTE 1: SISTEMA CLOUD",,,,,COMPRA,SOFTWARE,"SW INFRAESTRUCTURA","VIRTUALIZACION PLATAFORMAS",,,,,,,,
,PREVIO,,"SUMINISTRO DE EQUIPAMIENTO CIENTIFICO-TECNICO: CLOUD, BIG DATA, VISUALIZACION CIENTIFICA Y ALIMENTACION ELECTRICA ININTERRUMPIDA (SAI) PARA EL CESGA, COFINANCIADO POR EL FONDO EUROPEO DE DESARROLLO REGIONAL 2007–2013 Y POR LA XUNTA DE GALICIA",2015/04/09,"DO UNION EUROPEA",69-122919,http://ted.europa.eu/udl?uri=TED:NOTICE:122919-2015:TEXT:ES:HTML&src=0,"FUNDACION CENTRO TECNOLOGICO DE SUPERCOMPUTACION DE GALICIA (CESGA)","SANTIAGO DE COMPOSTELA","A CORUÑA",GALICIA,CCAA,"INDUSTRIA / TURISMO / COMERCIO / CIENCIA Y TECNOLOGIA",http://www.cesga.es/,981569810,,,SUMINISTRO,ABIERTO,CONCURSO,,"LOTE 1: SISTEMA CLOUD",,,,,COMPRA,SERVICIOS,INSTALACION,"SISTEMAS INST",,,,,,,,
