X,Y,COLOR
8,94,1
73,47,1
8,37,1
88,22,1
6,83,1
59,22,1
86,61,1
50,87,1
73,41,1
90,56,1
90,42,1
91,63,1
89,89,1
38,94,1
0,35,1
19,70,0
73,65,1
91,55,1
56,0,1
27,14,1
33,26,0
33,41,0
47,80,1
95,67,1
15,19,1
30,99,1
63,38,1
93,69,1
88,6,1
44,24,1
0,79,1
56,65,1
67,36,1
87,20,1
52,69,1
68,44,1
72,23,1
9,18,1
64,41,1
79,37,0
10,15,1
1,6,1
47,0,1
66,76,1
9,98,1
56,21,1
84,56,0
64,64,1
82,61,0
60,72,1
8,7,1
44,7,1
71,98,1
29,89,1
46,48,1
0,84,1
50,26,1
62,17,1
10,38,1
7,86,1
76,41,0
32,88,1
28,42,0
13,74,1
14,53,1
9,45,1
13,50,1
85,65,1
48,76,1
54,95,1
47,17,1
22,70,0
35,21,1
35,31,1
68,16,1
20,77,0
63,84,1
37,1,1
44,9,1
29,35,0
49,78,1
61,94,1
0,41,1
38,81,1
85,76,1
63,44,1
83,87,1
9,45,1
6,21,1
96,88,1
0,17,1
31,9,1
53,77,1
28,78,0
24,96,1
8,70,1
73,62,1
64,35,1
40,19,1
68,9,1
26,76,0
93,74,1
59,35,1
41,98,1
43,20,1
82,38,0
60,4,1
40,89,1
87,28,1
82,27,0
95,30,1
18,29,0
27,31,0
26,98,1
86,72,1
68,48,1
89,53,1
48,98,1
96,53,1
42,48,1
18,96,1
98,5,1
67,48,1
64,1,1
30,47,0
66,11,1
99,85,1
15,32,1
44,75,1
24,74,0
92,39,1
90,10,1
44,41,1
50,51,1
92,78,1
89,43,1
92,71,1
50,70,1
30,7,1
52,91,1
13,94,1
80,43,0
52,21,1
52,90,1
56,75,1
17,99,1
26,26,0
9,91,1
26,46,0
62,27,1
86,46,1
94,57,1
86,88,1
0,87,1
44,20,1
16,96,1
33,19,0
39,18,1
1,53,1
71,60,1
12,18,1
41,96,1
69,82,1
37,56,1
71,57,1
73,31,1
14,56,1
45,55,1
99,82,1
91,21,1
72,38,1
67,28,1
9,90,1
36,67,1
58,92,1
89,49,1
5,49,1
9,29,1
22,95,1
52,9,1
19,71,0
76,2,1
6,54,1
83,83,0
56,5,1
58,19,1
2,85,1
98,4,1
30,1,1
12,9,1
63,84,1
55,62,1
66,50,1
0,31,1
87,18,1
86,44,1
14,9,1
28,45,0
25,35,0
9,43,1
48,20,1
15,77,1
20,33,0
31,37,0
72,7,1
21,75,0
63,43,1
86,88,1
72,57,1
70,62,1
39,53,1
83,1,1
19,42,0
94,86,1
90,22,1
24,73,0
80,60,0
10,31,1
91,86,1
63,30,1
77,11,1
72,65,1
83,42,0
35,33,1
45,10,1
99,65,1
74,61,1
7,28,1
20,14,1
54,52,1
50,9,1
55,26,1
78,52,0
55,55,1
9,19,1
43,81,1
87,95,1
68,94,1
26,17,0
12,96,1
45,90,1
95,1,1
18,75,0
10,55,1
44,43,1
97,47,1
17,49,0
91,64,1
92,63,1
78,40,0
97,25,1
1,16,1
96,34,1
72,98,1
91,72,1
81,69,0
32,50,0
17,26,0
56,97,1
13,53,1
32,75,0
48,48,1
88,5,1
66,53,1
97,99,1
3,13,1
33,98,1
93,58,1
29,25,0
67,47,1
27,73,0
35,95,1
74,50,1
37,68,1
18,58,0
84,64,0
89,74,1
76,28,0
83,65,0
15,29,1
79,26,0
59,88,1
23,10,1
65,21,1
26,93,1
42,77,1
9,29,1
51,7,1
23,5,1
90,85,1
33,48,0
47,53,1
68,23,1
84,47,0
59,70,1
16,12,1
83,88,1
82,5,1
30,29,0
92,41,1
53,95,1
66,51,1
94,16,1
37,88,1
94,77,1
92,48,1
1,15,1
83,93,1
9,72,1
34,82,0
70,39,1
33,90,1
85,33,1
46,20,1
2,15,1
34,77,0
84,24,0
32,66,0
18,19,0
88,89,1
17,49,0
28,11,1
68,46,1
72,64,1
63,61,1
74,51,1
69,24,1
18,13,1
76,37,0
39,4,1
52,37,1
56,22,1
65,7,1
26,94,1
27,37,0
35,40,1
60,11,1
65,94,1
3,60,1
54,2,1
16,84,0
28,46,0
21,39,0
5,85,1
61,15,1
8,25,1
83,79,0
28,66,0
9,4,1
78,5,1
39,31,1
25,80,0
50,83,1
45,7,1
91,73,1
4,93,1
99,1,1
60,25,1
99,80,1
38,18,1
86,82,1
8,30,1
25,61,0
81,97,1
25,21,0
18,46,0
92,54,1
53,9,1
42,0,1
35,98,1
82,62,0
69,55,1
39,69,1
61,64,1
81,46,0
41,77,1
9,99,1
54,20,1
34,85,1
42,17,1
76,81,0
34,37,0
46,80,1
35,83,1
6,99,1
17,58,0
18,19,0
54,37,1
52,66,1
81,22,0
96,14,1
94,69,1
84,64,0
34,37,0
78,1,1
22,96,1
22,27,0
36,80,1
95,67,1
73,59,1
9,53,1
39,10,1
22,65,0
63,20,1
49,86,1
48,85,1
90,82,1
14,27,1
40,29,1
24,46,0
72,97,1
17,20,0
35,75,1
4,70,1
6,29,1
83,63,0
42,15,1
4,14,1
8,27,1
90,94,1
29,46,0
11,54,1
58,20,1
74,15,1
26,43,0
23,82,0
79,44,0
75,4,1
27,43,0
92,13,1
23,46,0
14,86,1
47,54,1
1,64,1
24,63,0
77,13,1
24,23,0
6,52,1
29,40,0
23,7,1
68,42,1
30,88,1
93,18,1
52,17,1
54,53,1
48,91,1
51,81,1
49,18,1
1,28,1
26,85,1
67,79,1
84,52,0
9,76,1
35,92,1
85,61,1
55,32,1
56,99,1
2,21,1
49,58,1
58,88,1
6,46,1
34,90,1
58,0,1
15,73,1
62,35,1
8,10,1
77,44,0
26,61,0
6,79,1
77,79,0
43,92,1
79,83,0
5,48,1
11,87,1
31,45,0
0,25,1
54,5,1
52,11,1
62,51,1
55,10,1
9,4,1
95,96,1
77,19,0
79,41,0
74,61,1
25,33,0
30,20,0
7,15,1
0,30,1
81,49,0
38,33,1
69,60,1
18,96,1
69,41,1
10,1,1
9,51,1
1,72,1
2,58,1
21,63,0
95,63,1
35,91,1
22,95,1
91,82,1
3,57,1
7,76,1
93,19,1
40,6,1
87,33,1
3,15,1
7,26,1
54,23,1
9,49,1
7,89,1
10,3,1
82,10,1
86,9,1
94,23,1
45,58,1
96,8,1
7,87,1
90,82,1
5,66,1
